GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABZ001,ABZ002,ABZ003,ABZ004,ABZ005,ABZ006
"G1300990","1830","Georgia","130","Early","0990","Early",0,0,0,0,0,0
"G1301030","1830","Georgia","130","Effingham","1030","Effingham",0,0,0,1,0,0
"G1301050","1830","Georgia","130","Elbert","1050","Elbert",0,0,0,0,0,0
"G1301070","1830","Georgia","130","Emanuel","1070","Emanuel",1,0,0,0,0,0
"G1301130","1830","Georgia","130","Fayette","1130","Fayette",1,1,1,0,0,0
"G1301190","1830","Georgia","130","Franklin","1190","Franklin",3,4,3,0,0,0
"G1301270","1830","Georgia","130","Glynn","1270","Glynn",0,0,0,0,0,0
"G1301330","1830","Georgia","130","Greene","1330","Greene",0,1,1,1,0,1
"G1301350","1830","Georgia","130","Gwinnett","1350","Gwinnett",1,3,3,0,0,0
"G1301370","1830","Georgia","130","Habersham","1370","Habersham",1,2,1,0,0,0
"G1301390","1830","Georgia","130","Hall","1390","Hall",3,2,2,0,0,0
"G1301410","1830","Georgia","130","Hancock","1410","Hancock",0,0,0,0,0,1
"G1301450","1830","Georgia","130","Harris","1450","Harris",2,2,1,1,0,0
"G1301510","1830","Georgia","130","Henry","1510","Henry",2,3,1,0,0,1
"G1301530","1830","Georgia","130","Houston","1530","Houston",0,2,1,0,0,0
"G1301550","1830","Georgia","130","Irwin","1550","Irwin",0,0,0,0,0,0
"G1301570","1830","Georgia","130","Jackson","1570","Jackson",0,3,0,0,1,0
"G1301590","1830","Georgia","130","Jasper","1590","Jasper",2,3,1,3,1,0
"G1301630","1830","Georgia","130","Jefferson","1630","Jefferson",1,0,1,0,0,0
"G1301690","1830","Georgia","130","Jones","1690","Jones",0,1,2,2,2,1
"G1301750","1830","Georgia","130","Laurens","1750","Laurens",0,0,1,0,0,1
"G1301770","1830","Georgia","130","Lee","1770","Lee",0,0,0,0,0,0
"G1301790","1830","Georgia","130","Liberty","1790","Liberty",0,0,0,1,0,0
"G1301810","1830","Georgia","130","Lincoln","1810","Lincoln",1,0,0,0,0,0
"G1301850","1830","Georgia","130","Lowndes","1850","Lowndes",0,0,0,1,2,0
"G1301910","1830","Georgia","130","McIntosh","1910","Mcintosh",0,0,0,0,1,0
"G1301950","1830","Georgia","130","Madison","1950","Madison",1,1,1,0,0,0
"G1301970","1830","Georgia","130","Marion","1970","Marion",0,0,0,0,0,0
"G1301990","1830","Georgia","130","Meriwether","1990","Meriwether",1,1,0,0,0,0
"G1302070","1830","Georgia","130","Monroe","2070","Monroe",1,0,0,1,1,0
"G1302090","1830","Georgia","130","Montgomery","2090","Montgomery",3,0,0,0,0,0
"G1302110","1830","Georgia","130","Morgan","2110","Morgan",2,2,2,0,0,0
"G1302150","1830","Georgia","130","Muscogee","2150","Muscogee",0,0,0,0,0,0
"G1302170","1830","Georgia","130","Newton","2170","Newton",4,1,0,1,0,0
"G1302210","1830","Georgia","130","Oglethorpe","2210","Oglethorpe",3,4,2,1,1,1
"G1302310","1830","Georgia","130","Pike","2310","Pike",0,0,0,0,0,1
"G1302350","1830","Georgia","130","Pulaski","2350","Pulaski",2,1,0,0,1,0
