GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ALF001,ALF002,ALF003,ALF004,ALF005,ALF006,ALF007,ALF008,ALF009,ALF010,ALF011,ALF012,ALF013,ALF014,ALF015,ALF016,ALF017,ALF018,ALF019,ALF020,ALF021,ALF022,ALF023,ALF024,ALF025,ALF026,ALF027,ALF028,ALF029,ALF030,ALF031,ALF032,ALF033,ALF034,ALF035,ALF036,ALF037,ALF038,ALF039,ALF040,ALF041,ALF042,ALF043,ALF044,ALF045,ALF046,ALF047,ALF048,ALF049,ALF050,ALF051,ALF052,ALF053,ALF054,ALF055,ALF056,ALF057,ALF058,ALF059,ALF060,ALF061,ALF062,ALF063,ALF064,ALF065,ALF066,ALF067,ALF068,ALF069,ALF070,ALF071,ALF072,ALF073,ALF074,ALF075,ALF076,ALF077
G0100810,1870,Alabama,10,Lee,810,Lee,13946,13946,,,,,,5817,,,,,,,,,,,,,,,,,,,339,,,,,721,69,,,573,,,,,,,,,,,,,,,2,,,0,,,2,,,,8,0,21,0,,,13,3,,,,,6,,1,0,
G0100830,1870,Alabama,10,Limestone,830,Limestone,11569,11569,,,,,,383,,,,,,,,,,,,,,,,,,,230,,,,,203,1549,,,721,,,,,,,,,,,,,,,1,,,2,,,1,,,,6,0,12,0,,,15,0,,,,,1,,0,2,
G0100850,1870,Alabama,10,Lowndes,850,Lowndes,19684,19684,,,,,,1012,,,,,,,,,,,,,,,,,,,1329,,,,,1979,137,,,1109,,,,,,,,,,,,,,,15,,,0,,,1,,,,10,2,25,0,,,28,0,,,,,1,,2,0,
G0100870,1870,Alabama,10,Macon,870,Macon,13213,13213,,,,,,2951,,,,,,,,,,,,,,,,,,,283,,,,,667,55,,,319,,,,,,,,,,,,,,,0,,,0,,,0,,,,11,1,12,0,,,16,0,,,,,6,,3,0,
G0100890,1870,Alabama,10,Madison,890,Madison,23771,23771,,,,,,917,,,,,,,,,,,,,,,,,,,560,,,,,412,2534,,,1647,,,,,,,,,,,,,,,3,,,1,,,15,,,,16,9,94,0,,,84,2,,,,,8,,0,4,
G0100910,1870,Alabama,10,Marengo,910,Marengo,20858,20858,,,,,,435,,,,,,,,,,,,,,,,,,,1563,,,,,953,195,,,1575,,,,,,,,,,,,,,,11,,,0,,,0,,,,11,6,52,0,,,22,0,,,,,1,,1,5,
G0100930,1870,Alabama,10,Marion,930,Marion,4991,4991,,,,,,520,,,,,,,,,,,,,,,,,,,90,,,,,148,198,,,13,,,,,,,,,,,,,,,0,,,0,,,0,,,,1,0,1,0,,,2,0,,,,,2,,0,0,
G0100950,1870,Alabama,10,Marshall,950,Marshall,7124,7124,,,,,,1020,,,,,,,,,,,,,,,,,,,245,,,,,548,596,,,131,,,,,,,,,,,,,,,0,,,0,,,0,,,,6,0,2,0,,,8,0,,,,,2,,0,0,
G0100970,1870,Alabama,10,Mobile,970,Mobile,31916,31916,,,,,,1233,,,,,,,,,,,,,,,,,,,1232,,,,,1125,363,,,1914,,,,,,,,,,,,,,,33,,,34,,,73,,,,496,410,1049,1,,,2408,91,,,,,197,,60,102,
G0100990,1870,Alabama,10,Monroe,990,Monroe,12297,12297,,,,,,361,,,,,,,,,,,,,,,,,,,278,,,,,622,31,,,431,,,,,,,,,,,,,,,3,,,0,,,2,,,,5,4,9,0,,,6,0,,,,,2,,0,2,
